company_name,stage,funding_amount,description,headquarter,investor,funded_year,sector
TheCollegeFever,Seed,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.","Bangalore, ",Undisclosed,2021,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing"
Happy Cow Dairy,Seed,560000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,"Bangalore, ",Undisclosed,2021,"Agriculture, Farming"
MyLoanCare,Series A,910000.0,Leading Online Loans Marketplace in India,"Bangalore, ",Undisclosed,2021,"Credit, Financial Services, Lending, Marketplace"
PayMe India,Angel,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,"Bangalore, ",Undisclosed,2021,"Financial Services, FinTech"
Eunimart,Seed,3500000.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Bangalore, ",Undisclosed,2021,"E-Commerce Platforms, Retail, SaaS"
Hasura,Seed,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.","Bangalore, ",Undisclosed,2021,"Cloud Infrastructure, PaaS, SaaS"
Tripshelf,Seed,224000.0,Tripshelf is an online market place for holiday packages.,"Bangalore, ",Undisclosed,2021,"Internet, Leisure, Marketplace"
Hyperdata.IO,Angel,700000.0,Hyperdata combines advanced machine learning with human intelligence.,"Bangalore, ",Undisclosed,2021,Market Research
Freightwalla,Seed,3500000.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,"Bangalore, ",Undisclosed,2021,"Information Services, Information Technology"
Microchip Payments,Seed,3500000.0,Microchip payments is a mobile-based payment application and point-of-sale device,"Bangalore, ",Undisclosed,2021,Mobile Payments
BizCrum Infotech Pvt. Ltd.,Seed,3500000.0,Building Transactionary B2B Marketplaces,"Bangalore, ",Undisclosed,2021,"B2B, Shoes"
Emojifi,Seed,3500000.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.","Bangalore, ",Undisclosed,2021,Internet
Flock,Seed,3500000.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,"Bangalore, ",Undisclosed,2021,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat"
Freshboxx,Seed,3500000.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.","Bangalore, ",Undisclosed,2021,Food Delivery
Wide Mobility Mechatronics,Seed,3500000.0,Wide Mobility Mechatronics is a Private Company limited by Shares,"Bangalore, ",Undisclosed,2021,Industrial Automation
Pitstop,Seed,1400000.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Bangalore, ",Undisclosed,2021,"Automotive, Search Engine, Service Industry"
Mihuru,Seed,150000.0,Mihuru is an online platform which gives micro loans for air travel .,"Bangalore, ",Undisclosed,2021,"Finance, Internet, Travel"
Fyle,Seed,1100000.0,Fyle is an intelligent expense management platform for enterprises.,"Bangalore, ",Undisclosed,2021,"Accounting, Business Information Systems, Business Travel, Finance, SaaS"
AppWharf,Seed,3500000.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,"Bangalore, ",Undisclosed,2021,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software"
Antariksh Waste Ventures Pvt ltd,Seed,7000.0,Waste Management for Smart Cities,"Bangalore, ",Undisclosed,2021,"Internet of Things, Waste Management"
Cogoport,Series A,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,"Bangalore, ",Undisclosed,2021,"Air Transportation, Freight Service, Logistics, Marine Transportation"
PaisaDukan,Seed,650000.0,A P2P lending marketplace platform,"Bangalore, ",Undisclosed,2021,Finance
Sleepy Owl Coffee,Seed,490000.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.","Bangalore, ",Undisclosed,2021,Food and Beverage
BlueJack,Seed,896000.0,Delhi-based online used vehicles marketplace.,"Bangalore, ",Undisclosed,2021,Autonomous Vehicles
PregBuddy,Seed,3500000.0,PregBuddy is a smart connected care platform for expecting mothers.,"Bangalore, ",Undisclosed,2021,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS"
AgNext Technologies,Series A,3500000.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,"Bangalore, ",Undisclosed,2021,"Agriculture, Analytics, Big Data, Farming"
Pando,Seed,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,"Bangalore, ",Undisclosed,2021,"Logistics, Supply Chain Management"
Mintifi,Seed,2000000.0,Online lending startup based in Mumbai.,"Bangalore, ",Undisclosed,2021,"Financial Services, Lending"
